street,number,zip,city,latitude,longitude
Am Spritzenhaus,2,22885,Barsbüttel,53.589452,10.238702
Am Dreswinkel ,23,34431,Marsberg,51.517516,8.8684996
Am Darmstädter Schloß,6,64823,Groß-Umstadt,49.8699052,8.9306971
Mühlsteig,23,87616,Marktoberdorf,47.77319,10.61125
Mönkhofer Weg,136,23562,Lübeck,53.837674,10.699242
Alfred-Nobel-Str,15,79761,Waldshut-Tiengen,47.61564,8.241942
Mitteldorfstr,4,79688,Hausen im Wiesental,47.681442,7.841011
Bläserstr,73,79576,Weil am Rhein,47.58998,7.62661
Eimeldinger Weg,40,79576,Haltingen,47.617966,7.607062
Riedlistr,10,79576,Weil am Rhein,47.591294,7.601304
Riedlistr,15,79576,Weil am Rhein,47.591702,7.601012
Am Alten Markt,2,79539,Lörrach,47.611162,7.661406
Meeraner Platz,1,79539,Lörrach,47.6082964,7.6585312
Hauptstr,17-19,79540,Lörrach,47.602002,7.661282
Rippolingerstr,2,79713,Bad Säckingen,47.558293,7.945932
Tiroler Straße,8,83242,Reit im Winkl,47.6768249,12.46759
NSU-Straße,1,74172,Neckarsulm,49.194268,9.2216232
Werner-von-Siemens-Str,,36041,Fulda,50.56003987,9.596666391
Goldbacher Straße,2,63739,Aschaffenburg,49.9782191,9.1513811
Karolinenplatz,5,64289,Darmstadt,49.8747804,8.6561818
Bahnhofstraße,69,39104,Magdeburg,52.129372,11.628097
Rathausstraße,2,26736,Krummhörn,53.4355,7.093468
Hafenstraße,,26506,Norden,53.62069104,7.157832406
Bunter Weg,15,26736,Krummhörn,53.4386657,7.091372034
Große Bahnstraße,31,22525,Hamburg,53.57358,9.937134
Marktplatz,12,9535,Kasendorf,50.036144,11.350206
Schleusinger Straße,,98708,Gehren,50.64297783,10.98907508
Neuenkoog,7,25761,Westerdeichstrich,54.15274,8.82437
Wilhelm-Johnsen-Straße,9,25715,Eddelak,53.94794,9.146198
Bergmannring,4,22119,Hamburg,53.5566748,10.102342
Wittestraße,11,21109,Hamburg,53.5009221,10.0087167
Heideweg,1a,2542,Appen-Etz,53.635064,9.756704
